time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20150324:0600,6.49,88.3,113.0,5.96,111.0,315.2,2.0,113.0,101010.0
20150324:0700,7.29,83.0,202.0,13.97,195.0,318.6,2.14,118.0,101079.0
20150324:0800,7.87,79.95,285.0,22.09,271.0,319.8,2.14,121.0,101099.0
20150324:0900,8.49,77.0,544.0,258.1,357.0,316.2,2.07,131.0,101108.0
20150324:1000,9.39,73.15,543.0,199.49,390.0,315.2,2.0,140.0,101049.0
20150324:1100,9.84,71.35,578.0,269.06,374.0,316.0,1.86,154.0,101029.0
20150324:1200,10.19,70.8,716.0,811.26,149.0,311.6,1.72,166.0,100990.0
20150324:1300,10.48,69.85,598.0,804.25,121.0,320.0,1.45,168.0,100901.0
20150324:1400,10.61,69.1,420.0,674.12,118.0,310.2,1.59,182.0,100901.0
20150324:1500,10.43,69.9,222.0,486.35,89.0,312.8,1.72,186.0,100891.0
20150324:1600,9.75,72.35,37.0,122.83,27.0,307.0,1.38,184.0,100792.0
20150324:1700,9.07,76.2,0.0,-0.0,0.0,306.4,0.9,173.0,100802.0
20150324:1800,8.27,82.3,0.0,-0.0,0.0,287.4,0.76,182.0,100931.0
20150324:1900,8.53,77.65,0.0,-0.0,0.0,274.8,0.07,138.0,100980.0
20150324:2000,8.34,79.1,0.0,-0.0,0.0,268.4,0.21,7.0,101000.0
20150324:2100,8.11,80.75,0.0,-0.0,0.0,275.4,0.76,32.0,100931.0
20150324:2200,7.96,81.9,0.0,-0.0,0.0,268.4,0.69,32.0,100990.0
20150324:2300,7.37,84.4,0.0,-0.0,0.0,263.2,0.97,42.0,100911.0
20150325:0000,7.37,85.0,0.0,-0.0,0.0,264.0,0.83,54.0,100901.0
20150325:0100,6.81,86.85,0.0,-0.0,0.0,262.2,0.97,53.0,100871.0
20150325:0200,4.66,92.6,0.0,-0.0,0.0,260.8,1.38,47.0,100842.0
20150325:0300,4.05,94.25,0.0,-0.0,0.0,262.2,1.45,45.0,100753.0
20150325:0400,3.38,97.5,0.0,-0.0,0.0,273.4,1.38,39.0,100674.0
20150325:0500,3.38,98.0,56.0,26.09,52.0,284.4,1.38,34.0,100684.0
20150325:0600,5.97,94.1,127.0,11.74,123.0,284.4,1.31,28.0,100733.0
20150325:0700,8.42,84.05,207.0,15.8,199.0,294.4,2.0,69.0,100713.0
20150325:0800,9.82,73.8,318.0,42.26,291.0,297.6,2.21,72.0,100634.0
20150325:0900,10.86,65.95,194.0,0.0,194.0,297.6,1.72,92.0,100674.0
20150325:1000,11.59,61.05,195.0,0.0,195.0,306.4,1.45,120.0,100693.0
20150325:1100,11.5,61.2,201.0,0.0,201.0,321.4,1.66,158.0,100723.0
20150325:1200,10.92,65.3,398.0,76.83,344.0,329.0,1.38,169.0,100684.0
20150325:1300,10.65,67.1,124.0,0.0,124.0,334.0,0.76,139.0,100674.0
20150325:1400,10.74,65.9,139.0,2.21,138.0,333.4,0.83,91.0,100624.0
20150325:1500,10.84,64.25,147.0,97.49,120.0,333.6,1.03,83.0,100575.0
20150325:1600,10.42,67.8,8.0,0.0,8.0,334.2,1.03,104.0,100555.0
20150325:1700,9.78,74.9,0.0,-0.0,0.0,338.8,1.1,111.0,100575.0
20150325:1800,9.22,81.9,0.0,-0.0,0.0,342.6,1.03,87.0,100624.0
20150325:1900,8.5,83.15,0.0,-0.0,0.0,340.2,1.31,67.0,100654.0
20150325:2000,8.33,86.2,0.0,-0.0,0.0,337.8,0.97,64.0,100674.0
20150325:2100,8.49,84.05,0.0,-0.0,0.0,332.8,0.69,76.0,100654.0
20150325:2200,8.73,81.6,0.0,-0.0,0.0,332.2,0.69,90.0,100644.0
20150325:2300,8.77,80.95,0.0,-0.0,0.0,325.6,0.69,96.0,100654.0
20150326:0000,8.07,86.25,0.0,-0.0,0.0,340.4,0.9,65.0,100664.0
20150326:0100,7.77,87.55,0.0,-0.0,0.0,329.05,1.1,48.0,100614.0
20150326:0200,7.64,88.85,0.0,-0.0,0.0,337.0,1.31,36.0,100595.0
20150326:0300,7.65,89.15,0.0,-0.0,0.0,335.2,1.52,27.0,100575.0
20150326:0400,7.6,90.15,0.0,-0.0,0.0,334.2,1.45,22.0,100545.0
20150326:0500,7.67,91.05,37.0,0.0,37.0,332.0,1.24,21.0,100575.0
20150326:0600,9.19,87.2,80.0,0.0,80.0,319.0,1.1,27.0,100605.0
20150326:0700,10.21,80.9,122.0,0.0,122.0,331.2,1.38,43.0,100605.0
20150326:0800,11.22,78.9,106.0,0.0,106.0,324.4,1.31,56.0,100624.0
20150326:0900,12.4,76.6,152.0,0.0,152.0,342.4,1.38,75.0,100605.0
20150326:1000,12.56,77.85,160.0,0.0,160.0,350.0,1.59,82.0,100535.0
20150326:1100,12.36,81.25,155.0,0.0,155.0,362.4,2.0,83.0,100516.0
20150326:1200,12.57,82.45,134.0,0.0,134.0,357.4,1.86,79.0,100417.0
20150326:1300,12.28,86.65,81.0,0.0,81.0,359.6,1.72,84.0,100348.0
20150326:1400,11.74,92.4,103.0,0.0,103.0,363.0,1.79,88.0,100328.0
20150326:1500,11.45,94.15,55.0,0.0,55.0,363.2,1.93,90.0,100279.0
20150326:1600,11.14,95.75,21.0,0.0,21.0,362.6,2.21,86.0,100209.0
20150326:1700,10.93,96.85,0.0,-0.0,0.0,361.8,2.69,79.0,100170.0
20150326:1800,10.87,97.05,0.0,-0.0,0.0,360.8,2.9,74.0,100160.0
20150326:1900,10.43,97.15,0.0,-0.0,0.0,358.4,1.86,92.0,100170.0
20150326:2000,10.34,96.8,0.0,-0.0,0.0,357.8,2.07,66.0,100120.0
20150326:2100,10.3,96.1,0.0,-0.0,0.0,357.0,2.41,61.0,100022.0
20150326:2200,10.28,95.0,0.0,-0.0,0.0,357.0,2.55,58.0,99883.0
20150326:2300,10.3,93.8,0.0,-0.0,0.0,357.6,2.55,56.0,99834.0
20150327:0000,10.35,92.25,0.0,-0.0,0.0,357.2,2.55,61.0,99755.0
20150327:0100,10.34,93.05,0.0,-0.0,0.0,356.25,2.48,75.0,99636.0
20150327:0200,10.32,93.45,0.0,-0.0,0.0,356.0,2.83,84.0,99607.0
20150327:0300,10.29,94.15,0.0,-0.0,0.0,356.8,2.97,78.0,99518.0
20150327:0400,10.25,94.95,0.0,-0.0,0.0,357.6,2.9,75.0,99488.0
20150327:0500,10.29,95.2,10.0,0.0,10.0,358.2,2.9,74.0,99429.0
20150327:0600,10.51,95.15,28.0,0.0,28.0,357.4,3.03,70.0,99449.0
20150327:0700,10.69,95.05,72.0,0.0,72.0,359.6,3.24,82.0,99409.0
20150327:0800,10.95,95.25,105.0,0.0,105.0,359.6,2.76,75.0,99389.0
20150327:0900,11.32,94.2,112.0,0.0,112.0,360.0,3.1,75.0,99350.0
20150327:1000,11.47,95.5,91.0,0.0,91.0,361.8,3.03,75.0,99310.0
20150327:1100,11.53,95.5,103.0,0.0,103.0,363.0,3.31,82.0,99261.0
20150327:1200,12.05,97.7,65.0,0.0,65.0,362.2,2.34,106.0,99142.0
20150327:1300,12.5,97.8,241.0,9.93,235.0,362.8,2.21,120.0,99113.0
20150327:1400,12.38,98.7,61.0,0.0,61.0,366.0,2.28,119.0,99014.0
20150327:1500,12.02,99.35,78.0,0.0,78.0,364.6,2.41,118.0,98994.0
20150327:1600,11.61,99.15,33.0,43.58,29.0,363.2,2.41,120.0,98974.0
20150327:1700,11.2,99.25,0.0,-0.0,0.0,362.6,2.34,125.0,98994.0
20150327:1800,10.92,99.35,0.0,-0.0,0.0,362.0,2.0,120.0,98994.0
20150327:1900,11.05,99.35,0.0,-0.0,0.0,362.2,2.0,128.0,99034.0
20150327:2000,10.79,99.3,0.0,-0.0,0.0,362.8,2.21,137.0,99024.0
20150327:2100,10.51,99.4,0.0,-0.0,0.0,363.8,2.21,141.0,99024.0
20150327:2200,10.38,99.15,0.0,-0.0,0.0,354.6,1.79,144.0,99132.0
20150327:2300,10.22,99.55,0.0,-0.0,0.0,353.2,1.24,142.0,99132.0
20150328:0000,10.1,99.55,0.0,-0.0,0.0,354.8,0.97,132.0,99034.0
20150328:0100,9.82,99.65,0.0,-0.0,0.0,353.25,0.9,80.0,99014.0
20150328:0200,9.61,99.6,0.0,-0.0,0.0,351.4,1.03,52.0,99004.0
20150328:0300,9.39,99.2,0.0,-0.0,0.0,342.8,1.38,42.0,98974.0
20150328:0400,9.15,99.05,0.0,-0.0,0.0,336.0,1.59,48.0,99014.0
20150328:0500,9.28,98.65,39.0,0.0,39.0,340.0,1.66,63.0,99053.0
20150328:0600,10.16,97.35,104.0,0.0,104.0,351.6,1.93,71.0,99073.0
20150328:0700,11.54,88.7,93.0,0.0,93.0,347.6,1.59,50.0,99083.0
20150328:0800,12.45,83.65,170.0,0.0,170.0,355.8,1.31,50.0,99073.0
20150328:0900,13.35,80.3,477.0,134.55,377.0,360.2,1.03,84.0,99063.0
20150328:1000,13.78,80.9,474.0,99.43,396.0,341.6,1.59,118.0,99063.0
20150328:1100,14.15,81.7,514.0,152.32,396.0,341.2,1.59,127.0,99073.0
20150328:1200,14.31,82.3,608.0,419.92,308.0,334.0,1.79,135.0,99034.0
20150328:1300,14.09,84.3,560.0,585.71,204.0,327.2,2.0,140.0,99044.0
20150328:1400,12.61,89.4,388.0,460.92,175.0,332.4,1.17,125.0,99093.0
20150328:1500,12.29,91.15,234.0,490.81,93.0,319.8,0.41,53.0,99123.0
20150328:1600,12.14,91.15,45.0,126.05,33.0,324.2,0.55,67.0,99152.0
20150328:1700,11.52,94.7,0.0,-0.0,0.0,306.2,1.03,73.0,99162.0
20150328:1800,10.88,96.0,0.0,-0.0,0.0,310.0,0.97,82.0,99231.0
20150328:1900,11.05,91.85,0.0,-0.0,0.0,302.8,0.55,73.0,99300.0
20150328:2000,10.98,92.2,0.0,-0.0,0.0,305.8,0.48,35.0,99330.0
20150328:2100,10.58,92.55,0.0,-0.0,0.0,320.0,0.76,31.0,99389.0
20150328:2200,9.6,91.55,0.0,-0.0,0.0,331.6,1.1,37.0,99429.0
20150328:2300,8.8,92.75,0.0,-0.0,0.0,313.2,1.38,41.0,99468.0
20150329:0000,8.69,92.85,0.0,-0.0,0.0,318.0,1.24,20.0,99449.0
20150329:0100,8.47,92.5,0.0,-0.0,0.0,300.8,1.17,1.0,99409.0
20150329:0200,8.39,92.3,0.0,-0.0,0.0,316.6,1.1,352.0,99439.0
20150329:0300,7.96,94.3,0.0,-0.0,0.0,319.6,1.1,342.0,99419.0
20150329:0400,7.64,94.95,0.0,-0.0,0.0,315.4,1.1,331.0,99478.0
20150329:0500,8.13,95.8,56.0,11.41,54.0,332.0,1.03,322.0,99498.0
20150329:0600,9.65,93.4,134.0,11.05,130.0,316.4,0.9,316.0,99547.0
20150329:0700,11.34,82.55,306.0,100.6,253.0,311.6,0.41,283.0,99587.0
20150329:0800,12.18,78.95,438.0,165.55,329.0,302.6,0.69,196.0,99587.0
20150329:0900,12.49,79.95,649.0,448.01,314.0,311.8,1.24,180.0,99617.0
20150329:1000,13.33,79.3,731.0,557.83,291.0,319.0,1.52,180.0,99587.0
20150329:1100,13.08,79.6,543.0,187.5,397.0,332.0,1.79,190.0,99567.0
20150329:1200,13.1,80.8,537.0,256.2,353.0,331.2,1.45,192.0,99547.0
20150329:1300,13.2,80.4,606.0,754.03,145.0,332.8,1.45,200.0,99538.0
20150329:1400,13.23,78.2,453.0,764.66,97.0,314.6,1.52,211.0,99538.0
20150329:1500,13.08,77.25,239.0,502.29,93.0,304.8,1.38,221.0,99498.0
20150329:1600,12.77,77.2,30.0,20.28,28.0,299.8,0.97,200.0,99528.0
20150329:1700,11.69,85.95,0.0,-0.0,0.0,295.2,0.76,159.0,99577.0
20150329:1800,11.67,82.15,0.0,-0.0,0.0,296.0,0.62,138.0,99656.0
20150329:1900,10.82,88.7,0.0,-0.0,0.0,290.2,0.55,108.0,99725.0
20150329:2000,10.51,90.35,0.0,-0.0,0.0,301.8,0.76,74.0,99765.0
20150329:2100,10.08,92.45,0.0,-0.0,0.0,307.6,0.9,55.0,99785.0
20150329:2200,9.83,93.45,0.0,-0.0,0.0,298.8,0.83,42.0,99785.0
20150329:2300,9.76,93.75,0.0,-0.0,0.0,313.4,0.76,34.0,99785.0
20150330:0000,9.61,92.4,0.0,-0.0,0.0,296.8,0.69,30.0,99775.0
20150330:0100,9.57,92.55,0.0,-0.0,0.0,293.4,0.69,28.0,99706.0
20150330:0200,9.44,92.05,0.0,-0.0,0.0,291.6,0.62,28.0,99715.0
20150330:0300,9.29,91.25,0.0,-0.0,0.0,295.8,0.55,29.0,99706.0
20150330:0400,9.14,90.95,0.0,-0.0,0.0,300.2,0.48,13.0,99725.0
20150330:0500,9.11,91.4,132.0,404.13,59.0,319.0,0.48,345.0,99765.0
20150330:0600,9.18,94.7,308.0,495.49,126.0,299.4,0.9,331.0,99755.0
20150330:0700,11.25,77.0,509.0,697.49,138.0,267.2,1.03,264.0,99755.0
20150330:0800,12.51,66.05,685.0,853.44,119.0,270.6,1.38,235.0,99725.0
20150330:0900,13.52,59.55,782.0,845.46,146.0,269.2,2.07,220.0,99676.0
20150330:1000,14.3,56.6,832.0,862.56,148.0,268.6,2.76,217.0,99607.0
20150330:1100,14.88,53.75,715.0,532.81,298.0,284.2,3.31,217.0,99538.0
20150330:1200,15.04,54.5,737.0,802.05,158.0,291.0,3.45,200.0,99429.0
20150330:1300,14.81,57.6,557.0,552.92,217.0,313.2,3.59,194.0,99379.0
20150330:1400,14.36,62.05,369.0,362.48,199.0,312.6,3.31,192.0,99350.0
20150330:1500,13.77,67.4,128.0,37.41,117.0,325.2,2.69,191.0,99320.0
20150330:1600,13.06,73.15,30.0,9.8,29.0,322.6,2.14,186.0,99271.0
20150330:1700,12.19,79.6,0.0,-0.0,0.0,312.6,1.59,183.0,99300.0
20150330:1800,11.28,88.2,0.0,-0.0,0.0,325.2,1.03,176.0,99340.0
20150330:1900,11.53,85.2,0.0,-0.0,0.0,329.0,0.76,205.0,99389.0
20150330:2000,11.4,85.6,0.0,-0.0,0.0,330.2,0.76,229.0,99409.0
20150330:2100,11.36,85.25,0.0,-0.0,0.0,330.4,0.69,254.0,99389.0
20150330:2200,11.27,84.95,0.0,-0.0,0.0,332.6,0.76,277.0,99409.0
20150330:2300,10.32,88.3,0.0,-0.0,0.0,330.4,0.97,287.0,99389.0
20150331:0000,9.65,90.65,0.0,-0.0,0.0,330.6,1.17,293.0,99419.0
20150331:0100,9.2,91.5,0.0,-0.0,0.0,327.05,1.24,296.0,99360.0
20150331:0200,9.0,91.95,0.0,-0.0,0.0,327.2,1.24,303.0,99389.0
20150331:0300,8.67,92.95,0.0,-0.0,0.0,325.6,1.31,309.0,99429.0
20150331:0400,8.19,93.55,0.0,-0.0,0.0,312.8,1.38,314.0,99478.0
20150331:0500,8.18,94.1,74.0,37.63,67.0,305.0,1.38,327.0,99528.0
20150331:0600,10.81,89.3,343.0,687.18,87.0,289.8,1.1,341.0,99626.0
20150331:0700,12.86,77.15,464.0,489.84,201.0,293.8,0.48,349.0,99696.0
20150331:0800,14.01,68.05,683.0,823.43,133.0,284.4,0.07,99.0,99725.0
20150331:0900,14.78,63.45,783.0,831.23,154.0,299.4,0.48,180.0,99765.0
20150331:1000,14.94,62.9,842.0,879.37,141.0,310.0,1.45,212.0,99745.0
20150331:1100,15.44,61.65,820.0,842.93,157.0,301.8,2.0,203.0,99745.0
20150331:1200,15.51,62.55,698.0,651.89,225.0,318.2,2.55,206.0,99715.0
20150331:1300,15.45,64.45,637.0,861.87,104.0,312.6,2.62,211.0,99686.0
20150331:1400,15.43,63.25,453.0,728.24,109.0,312.8,2.55,206.0,99646.0
20150331:1500,15.11,63.75,242.0,477.5,100.0,288.6,2.55,200.0,99607.0
20150331:1600,11.86,81.67,63.0,275.18,34.0,268.68,1.17,194.0,99597.0
20150331:1700,11.83,82.7,0.0,-0.0,0.0,273.66,1.24,188.0,99607.0
20150331:1800,11.81,83.73,0.0,-0.0,0.0,278.64,1.31,183.0,99626.0
20150331:1900,11.78,84.75,0.0,-0.0,0.0,283.62,1.38,144.0,99676.0
20150331:2000,11.75,85.78,0.0,-0.0,0.0,288.6,1.45,95.0,99676.0
20150331:2100,11.72,86.81,0.0,-0.0,0.0,293.59,1.52,75.0,99686.0
20150331:2200,11.69,87.83,0.0,-0.0,0.0,298.57,1.59,65.0,99676.0
20150331:2300,11.67,88.86,0.0,-0.0,0.0,303.55,1.66,22.0,99656.0
20180401:0000,11.64,89.89,0.0,-0.0,0.0,308.53,1.73,81.0,99547.0
20180401:0100,11.61,90.91,0.0,-0.0,0.0,313.51,1.8,94.0,99468.0
20180401:0200,11.58,91.94,0.0,-0.0,0.0,318.49,1.87,116.0,99360.0
20180401:0300,11.55,92.96,0.0,-0.0,0.0,323.48,1.94,141.0,99300.0
20180401:0400,11.52,93.99,0.0,-0.0,0.0,328.46,2.01,154.0,99221.0
20180401:0500,11.5,95.02,61.0,10.45,59.0,333.44,2.08,166.0,99172.0
20180401:0600,11.47,96.04,161.0,26.47,151.0,338.42,2.15,189.0,99192.0
20180401:0700,11.44,97.07,418.0,313.73,248.0,343.4,2.22,222.0,99212.0
20180401:0800,14.94,77.75,658.0,688.34,195.0,322.2,3.03,229.0,99231.0
20180401:0900,15.82,73.5,208.0,0.0,208.0,329.4,3.17,219.0,99212.0
20180401:1000,16.78,67.0,848.0,859.87,159.0,317.6,3.86,209.0,99132.0
20180401:1100,17.26,58.15,821.0,808.45,182.0,307.2,4.62,210.0,99123.0
20180401:1200,16.89,54.45,738.0,754.24,188.0,310.6,4.76,215.0,99093.0
20180401:1300,17.04,49.3,603.0,680.2,180.0,297.6,4.83,219.0,99024.0
20180401:1400,16.69,47.2,429.0,571.76,157.0,312.4,4.48,224.0,98974.0
20180401:1500,15.9,47.4,196.0,209.51,133.0,304.0,3.45,237.0,99014.0
20180401:1600,15.3,46.1,57.0,165.52,39.0,307.0,2.9,250.0,99044.0
20180401:1700,14.29,45.85,0.0,-0.0,0.0,298.0,2.62,254.0,99073.0
20180401:1800,13.21,48.95,0.0,-0.0,0.0,282.0,2.55,254.0,99132.0
20180401:1900,12.26,51.65,0.0,-0.0,0.0,280.2,3.03,266.0,99231.0
20180401:2000,11.28,57.15,0.0,-0.0,0.0,275.2,2.83,279.0,99330.0
20180401:2100,10.18,63.4,0.0,-0.0,0.0,272.2,2.62,291.0,99439.0
20180401:2200,9.22,69.25,0.0,-0.0,0.0,275.2,2.41,295.0,99567.0
20180401:2300,8.71,73.05,0.0,-0.0,0.0,285.2,2.41,298.0,99656.0
20180402:0000,8.23,75.3,0.0,-0.0,0.0,282.8,2.41,301.0,99706.0
20180402:0100,7.67,78.2,0.0,-0.0,0.0,269.4,2.48,304.0,99745.0
20180402:0200,6.98,80.35,0.0,-0.0,0.0,258.4,2.55,308.0,99804.0
20180402:0300,6.41,82.1,0.0,-0.0,0.0,256.0,2.55,312.0,99913.0
20180402:0400,5.89,83.7,0.0,0.0,0.0,254.6,2.55,319.0,99982.0
20180402:0500,6.18,84.6,155.0,487.95,59.0,254.0,2.48,324.0,100071.0
20180402:0600,9.55,78.0,348.0,619.0,111.0,254.0,2.21,325.0,100150.0
20180402:0700,12.29,61.7,539.0,731.56,139.0,258.8,2.0,319.0,100209.0
20180402:0800,13.85,53.0,690.0,770.74,168.0,264.0,1.66,302.0,100249.0
20180402:0900,15.03,46.95,798.0,808.66,179.0,270.0,1.45,283.0,100279.0
20180402:1000,15.76,44.0,847.0,824.49,183.0,272.6,1.52,261.0,100279.0
20180402:1100,16.26,42.95,819.0,774.36,204.0,279.6,1.59,249.0,100288.0
20180402:1200,16.42,44.2,766.0,825.61,161.0,295.2,1.66,241.0,100219.0
20180402:1300,16.22,48.0,620.0,719.66,170.0,293.0,1.79,235.0,100200.0
20180402:1400,16.27,49.0,474.0,770.28,105.0,281.2,1.86,235.0,100170.0
20180402:1500,16.12,48.7,237.0,394.73,117.0,278.6,1.79,228.0,100180.0
20180402:1600,15.37,53.45,71.0,312.22,36.0,279.8,1.79,204.0,100219.0
20180402:1700,13.56,66.1,0.0,-0.0,0.0,274.6,1.59,198.0,100269.0
20180402:1800,13.88,57.95,0.0,-0.0,0.0,271.0,0.83,187.0,100358.0
20180402:1900,14.06,51.15,0.0,-0.0,0.0,267.2,0.21,67.0,100446.0
20180402:2000,11.2,64.75,0.0,-0.0,0.0,265.6,1.38,50.0,100555.0
20180402:2100,9.32,73.05,0.0,-0.0,0.0,264.8,2.07,54.0,100634.0
20180402:2200,8.83,75.2,0.0,-0.0,0.0,264.2,2.07,52.0,100713.0
20180402:2300,8.76,75.3,0.0,-0.0,0.0,263.6,1.79,44.0,100753.0
20180403:0000,8.18,77.05,0.0,-0.0,0.0,262.6,1.66,29.0,100792.0
20180403:0100,7.08,79.6,0.0,-0.0,0.0,262.2,1.72,17.0,100832.0
20180403:0200,6.39,80.95,0.0,-0.0,0.0,261.6,1.79,12.0,100891.0
20180403:0300,5.94,81.25,0.0,-0.0,0.0,260.8,1.79,9.0,100911.0
20180403:0400,5.5,81.8,0.0,0.0,0.0,260.2,1.79,10.0,100911.0
20180403:0500,6.16,81.4,151.0,420.69,66.0,260.2,1.59,13.0,100990.0
20180403:0600,10.3,77.55,350.0,616.0,111.0,262.6,1.1,34.0,101049.0
20180403:0700,13.55,54.85,531.0,690.67,150.0,266.8,1.31,81.0,101089.0
20180403:0800,14.39,51.5,693.0,786.09,157.0,271.2,1.59,113.0,101128.0
20180403:0900,14.92,52.55,787.0,779.47,187.0,274.6,1.72,132.0,101158.0
20180403:1000,15.29,54.8,845.0,825.35,177.0,277.6,1.86,147.0,101099.0
20180403:1100,15.52,57.0,822.0,790.77,191.0,280.0,2.0,155.0,101069.0
20180403:1200,15.62,58.35,772.0,858.32,140.0,282.0,2.07,160.0,101020.0
20180403:1300,15.63,58.6,639.0,803.28,134.0,283.0,1.93,166.0,100980.0
20180403:1400,15.28,60.15,463.0,713.2,119.0,298.2,2.07,166.0,100960.0
20180403:1500,14.71,62.75,246.0,442.6,110.0,293.6,1.93,165.0,100950.0
20180403:1600,13.86,66.9,73.0,320.53,36.0,283.6,1.45,159.0,100950.0
20180403:1700,12.52,78.15,0.0,-0.0,0.0,281.4,0.97,146.0,100960.0
20180403:1800,12.32,75.4,0.0,-0.0,0.0,279.4,0.55,115.0,101000.0
20180403:1900,12.0,77.35,0.0,-0.0,0.0,278.6,0.21,97.0,101069.0
20180403:2000,11.71,77.75,0.0,-0.0,0.0,277.2,0.48,13.0,101049.0
20180403:2100,11.45,78.05,0.0,-0.0,0.0,275.8,0.83,1.0,101059.0
20180403:2200,11.08,79.85,0.0,-0.0,0.0,275.0,1.03,351.0,101029.0
20180403:2300,10.54,83.05,0.0,-0.0,0.0,274.4,1.1,338.0,101020.0
20180404:0000,9.4,87.2,0.0,-0.0,0.0,274.0,1.17,330.0,100970.0
20180404:0100,7.69,90.9,0.0,-0.0,0.0,273.4,1.24,324.0,100950.0
20180404:0200,7.33,92.05,0.0,-0.0,0.0,272.8,1.24,327.0,100940.0
20180404:0300,7.2,92.3,0.0,-0.0,0.0,272.4,1.17,330.0,100960.0
20180404:0400,6.89,91.95,0.0,0.0,0.0,272.0,1.17,331.0,100950.0
20180404:0500,7.38,91.2,75.0,19.29,71.0,271.6,0.97,333.0,100980.0
20180404:0600,10.56,87.5,284.0,284.95,172.0,274.0,0.55,336.0,100970.0
20180404:0700,13.62,71.6,419.0,289.33,258.0,280.2,0.48,290.0,100990.0
20180404:0800,15.07,64.65,506.0,247.67,336.0,284.6,0.83,219.0,100970.0
20180404:0900,15.96,62.1,576.0,245.48,386.0,292.6,1.52,198.0,100950.0
20180404:1000,16.77,60.85,850.0,837.31,169.0,298.0,1.93,192.0,100871.0
20180404:1100,17.13,61.5,827.0,802.09,184.0,310.2,2.21,186.0,100812.0
20180404:1200,17.21,63.2,772.0,852.92,141.0,312.0,2.28,181.0,100713.0
20180404:1300,17.14,64.75,646.0,829.1,122.0,303.4,2.21,180.0,100644.0
20180404:1400,16.8,66.3,469.0,735.19,112.0,300.2,2.14,181.0,100595.0
20180404:1500,16.16,68.8,253.0,473.39,106.0,297.2,1.86,182.0,100575.0
20180404:1600,15.14,73.2,72.0,269.46,40.0,294.2,1.38,178.0,100575.0
20180404:1700,13.72,82.95,0.0,-0.0,0.0,290.8,0.83,171.0,100565.0
20180404:1800,13.19,82.45,0.0,-0.0,0.0,286.8,0.14,135.0,100585.0
20180404:1900,13.0,82.75,0.0,-0.0,0.0,286.0,0.14,336.0,100595.0
20180404:2000,12.69,84.0,0.0,-0.0,0.0,284.4,0.55,335.0,100575.0
20180404:2100,12.38,85.2,0.0,-0.0,0.0,283.6,0.69,327.0,100545.0
20180404:2200,12.1,86.0,0.0,-0.0,0.0,285.4,0.76,320.0,100526.0
20180404:2300,11.73,86.8,0.0,-0.0,0.0,281.2,0.83,319.0,100486.0
20180405:0000,11.26,87.7,0.0,-0.0,0.0,280.6,0.97,323.0,100437.0
20180405:0100,10.53,89.45,0.0,-0.0,0.0,278.4,0.97,328.0,100397.0
20180405:0200,9.7,91.25,0.0,-0.0,0.0,284.6,0.97,330.0,100377.0
20180405:0300,8.98,92.2,0.0,-0.0,0.0,281.6,1.03,335.0,100348.0
20180405:0400,8.4,92.6,0.0,0.0,0.0,282.8,1.1,339.0,100298.0
20180405:0500,8.74,91.15,150.0,352.85,75.0,285.2,0.97,336.0,100308.0
20180405:0600,11.85,88.4,274.0,246.18,176.0,288.2,0.55,327.0,100308.0
20180405:0700,14.47,75.95,459.0,411.6,228.0,314.0,0.28,199.0,100318.0
20180405:0800,15.73,70.15,544.0,332.91,314.0,317.0,0.76,174.0,100298.0
20180405:0900,16.64,67.9,374.0,32.13,349.0,316.4,1.1,180.0,100298.0
20180405:1000,17.31,66.65,234.0,0.0,234.0,325.6,1.66,179.0,100200.0
20180405:1100,17.93,65.95,562.0,196.2,404.0,314.8,2.07,176.0,100120.0
20180405:1200,17.97,66.75,756.0,815.33,150.0,320.0,2.07,172.0,100041.0
20180405:1300,17.73,68.0,623.0,747.67,148.0,327.0,2.14,172.0,99953.0
20180405:1400,16.83,72.0,437.0,589.18,149.0,333.2,1.66,163.0,99913.0
20180405:1500,16.11,74.65,241.0,401.59,115.0,331.6,1.45,151.0,99903.0
20180405:1600,15.02,79.15,53.0,81.93,43.0,322.8,0.9,156.0,99893.0
20180405:1700,13.98,88.4,0.0,-0.0,0.0,317.4,0.34,143.0,99883.0
20180405:1800,13.61,85.55,0.0,-0.0,0.0,308.8,0.34,43.0,99854.0
20180405:1900,13.57,84.65,0.0,-0.0,0.0,297.0,0.69,36.0,99864.0
20180405:2000,13.33,85.35,0.0,-0.0,0.0,293.0,0.62,14.0,99834.0
20180405:2100,13.01,86.45,0.0,-0.0,0.0,291.2,0.34,341.0,99824.0
20180405:2200,12.5,88.35,0.0,-0.0,0.0,290.2,0.62,254.0,99824.0
20180405:2300,12.34,89.2,0.0,-0.0,0.0,292.8,0.41,289.0,99775.0
20180406:0000,12.16,89.55,0.0,-0.0,0.0,303.0,0.69,343.0,99755.0
20180406:0100,12.41,89.6,0.0,-0.0,0.0,304.8,1.03,349.0,99715.0
20180406:0200,10.97,91.55,0.0,-0.0,0.0,299.6,1.31,352.0,99696.0
20180406:0300,10.75,91.1,0.0,-0.0,0.0,298.2,1.31,330.0,99676.0
20180406:0400,11.44,88.95,0.0,0.0,0.0,298.2,1.1,318.0,99686.0
20180406:0500,10.84,90.1,14.0,0.0,14.0,295.4,1.1,328.0,99696.0
20180406:0600,12.77,90.0,365.0,630.19,111.0,307.8,0.9,328.0,99696.0
