time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20190717:0200,18.79,83.45,0.0,-0.0,0.0,368.2,1.31,14.0,99636.0
20190717:0300,18.62,83.95,0.0,0.0,0.0,367.0,1.38,22.0,99656.0
20190717:0400,18.55,84.7,13.0,0.0,13.0,358.0,1.45,26.0,99666.0
20190717:0500,20.4,77.65,41.0,0.0,41.0,346.8,1.38,28.0,99715.0
20190717:0600,21.82,68.25,491.0,654.05,139.0,343.8,1.17,31.0,99725.0
20190717:0700,23.18,59.3,672.0,756.86,148.0,347.6,1.52,21.0,99725.0
20190717:0800,24.18,53.15,821.0,821.56,151.0,342.8,2.21,34.0,99725.0
20190717:0900,24.83,49.45,921.0,851.74,155.0,354.2,2.14,42.0,99696.0
20190717:1000,25.6,46.05,957.0,832.55,176.0,362.0,2.0,54.0,99656.0
20190717:1100,26.29,43.15,801.0,459.58,374.0,358.8,1.79,72.0,99656.0
20190717:1200,26.78,41.65,674.0,309.26,404.0,362.4,1.72,105.0,99626.0
20190717:1300,26.58,43.85,335.0,19.39,320.0,366.0,2.0,140.0,99597.0
20190717:1400,26.44,45.2,610.0,732.18,143.0,360.0,1.93,158.0,99597.0
20190717:1500,25.93,48.4,423.0,619.34,129.0,361.4,2.21,178.0,99567.0
20190717:1600,25.26,53.9,235.0,480.63,93.0,373.2,2.14,188.0,99587.0
20190717:1700,24.36,61.45,62.0,187.04,41.0,355.8,1.59,189.0,99597.0
20190717:1800,22.89,70.55,0.0,-0.0,0.0,345.8,1.17,190.0,99646.0
20190717:1900,24.12,60.3,0.0,-0.0,0.0,355.4,0.9,173.0,99696.0
20190717:2000,24.15,59.5,0.0,-0.0,0.0,354.0,0.69,173.0,99745.0
20190717:2100,23.82,60.6,0.0,-0.0,0.0,348.6,0.34,180.0,99785.0
20190717:2200,23.5,61.45,0.0,-0.0,0.0,360.4,0.07,187.0,99804.0
20190717:2300,23.1,62.7,0.0,-0.0,0.0,355.4,0.21,352.0,99824.0
20190718:0000,22.64,64.05,0.0,-0.0,0.0,357.8,0.55,347.0,99824.0
20190718:0100,22.08,66.75,0.0,-0.0,0.0,356.05,0.69,352.0,99785.0
20190718:0200,21.58,70.4,0.0,-0.0,0.0,360.4,0.76,350.0,99854.0
20190718:0300,20.98,74.2,0.0,-0.0,0.0,351.4,0.9,345.0,99844.0
20190718:0400,20.63,77.2,54.0,11.22,52.0,342.4,0.9,338.0,99883.0
20190718:0500,20.89,85.2,302.0,536.46,108.0,347.2,0.69,332.0,99923.0
20190718:0600,23.84,62.1,495.0,678.52,131.0,346.6,0.41,280.0,99953.0
20190718:0700,24.55,59.35,674.0,770.09,142.0,360.2,0.76,280.0,99943.0
20190718:0800,25.02,56.2,820.0,821.66,151.0,357.2,1.03,259.0,99972.0
20190718:0900,25.52,53.5,920.0,851.72,155.0,367.2,1.1,251.0,99982.0
20190718:1000,25.56,52.75,972.0,881.5,146.0,372.4,1.1,240.0,99972.0
20190718:1100,25.95,51.5,967.0,895.35,136.0,363.0,1.1,233.0,99953.0
20190718:1200,26.27,50.85,889.0,843.98,153.0,381.4,1.31,211.0,99933.0
20190718:1300,26.62,50.1,780.0,837.39,133.0,369.4,1.66,203.0,99933.0
20190718:1400,26.27,51.9,619.0,774.35,126.0,373.4,1.72,202.0,99903.0
20190718:1500,26.15,53.6,429.0,654.85,119.0,382.6,1.52,202.0,99883.0
20190718:1600,25.78,57.05,226.0,428.66,100.0,375.4,1.1,198.0,99893.0
20190718:1700,24.97,67.9,55.0,126.64,41.0,367.6,0.62,212.0,99903.0
20190718:1800,24.8,63.05,0.0,-0.0,0.0,363.0,0.28,260.0,99953.0
20190718:1900,24.38,68.95,0.0,-0.0,0.0,355.0,0.41,273.0,100041.0
20190718:2000,23.61,72.4,0.0,-0.0,0.0,358.2,0.9,342.0,100111.0
20190718:2100,21.57,80.8,0.0,-0.0,0.0,354.8,1.45,358.0,100111.0
20190718:2200,20.74,84.05,0.0,-0.0,0.0,354.0,1.59,357.0,100150.0
20190718:2300,20.23,85.9,0.0,-0.0,0.0,355.6,1.66,0.0,100160.0
20190719:0000,19.98,85.95,0.0,-0.0,0.0,351.6,1.59,16.0,100170.0
20190719:0100,19.8,85.1,0.0,-0.0,0.0,346.25,1.59,48.0,100200.0
20190719:0200,19.62,84.8,0.0,-0.0,0.0,347.8,1.86,70.0,100229.0
20190719:0300,19.64,83.65,0.0,-0.0,0.0,351.2,1.72,73.0,100239.0
20190719:0400,19.85,83.6,87.0,107.93,68.0,344.0,1.45,63.0,100269.0
20190719:0500,21.65,82.1,298.0,539.42,104.0,347.4,1.1,63.0,100298.0
20190719:0600,23.88,67.65,486.0,662.04,132.0,347.0,1.03,85.0,100328.0
20190719:0700,24.92,61.1,660.0,741.34,149.0,359.4,1.1,100.0,100348.0
20190719:0800,25.55,59.0,804.0,792.27,160.0,362.8,1.31,126.0,100367.0
20190719:0900,26.0,57.95,893.0,792.65,182.0,363.2,1.52,142.0,100387.0
20190719:1000,26.32,57.4,939.0,804.53,186.0,366.8,1.66,159.0,100318.0
20190719:1100,26.55,57.2,908.0,743.18,219.0,364.6,1.66,175.0,100328.0
20190719:1200,26.97,56.25,859.0,769.22,189.0,376.8,1.59,190.0,100288.0
20190719:1300,27.0,55.6,597.0,331.81,341.0,368.0,1.31,202.0,100279.0
20190719:1400,26.29,58.5,584.0,653.1,169.0,377.6,0.83,263.0,100259.0
